,X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,CrimeType,monthly_crime_count
32,-8474398.49213021,5321569.96518914,2024-04-02 00:00:00+00:00,600,600,100 DURSTON AV   ,NO,Of Bicycle,MV THEFT,43.0630259530001,-76.126816892,49,2024-04,3,426
33,-8473266.66323007,5322855.42529236,2024-04-21 00:00:00+00:00,2200,300,300 VILLAGE DR     ,NO,Of Bicycle,MV THEFT,43.0714620000001,-76.1166494999999,52,2024-04,3,426
34,-8476638.91065095,5312168.64888561,2024-10-06 00:00:00+00:00,800,2018,200 W SENECA TPKE   ,NO,Of Bicycle,MV THEFT,43.0012929480001,-76.146942914,53,2024-10,3,531
35,-8473266.66323007,5322855.42529236,2024-09-24 00:00:00+00:00,2300,300,300 VILLAGE DR     ,NO,From Building,BURGLARY,43.0714620000001,-76.1166494999999,54,2024-09,1,569
36,-8477382.46095206,5319678.8471358,2024-08-03 00:00:00+00:00,325,330,200 W WATER ST     ,NO,All Other,LARCENY,43.0506130640001,-76.15362234,56,2024-08,2,648
37,-8473266.66323007,5322855.42529236,2024-10-20 00:00:00+00:00,1815,1820,300 VILLAGE DR     ,YES,Of Bicycle,ROBBERY,43.0714620000001,-76.1166494999999,57,2024-10,4,531
38,-8477383.85901354,5319534.9916602,2024-06-08 00:00:00+00:00,2100,2330,200 W WASHINGTON ST   ,NO,Of Bicycle,MV THEFT,43.0496687250001,-76.1536348989999,58,2024-06,3,469
39,-8477382.46095206,5319678.8471358,2024-05-19 00:00:00+00:00,1820,1820,200 W WATER ST     ,NO,From Building,LARCENY,43.0506130640001,-76.15362234,59,2024-05,2,433
40,-8477378.33367062,5319958.65521991,2024-11-01 00:00:00+00:00,430,430,200 W WILLOW ST     ,NO,Purse Snatch,ROBBERY,43.052449822,-76.153585264,60,2024-11,4,436
41,-8473266.66323007,5322855.42529236,2024-08-30 00:00:00+00:00,2300,700,300 VILLAGE DR     ,NO,Of MV Parts/Accessories,LARCENY,43.0714620000001,-76.1166494999999,61,2024-08,2,648
42,-8477378.33367062,5319958.65521991,2024-12-07 00:00:00+00:00,1200,1530,200 W WILLOW ST     ,NO,From Building,LARCENY,43.052449822,-76.153585264,62,2024-12,2,386
43,-8479531.97497473,5319627.79256042,2024-05-15 00:00:00+00:00,2008,2008,200 WALL ST     ,NO,All Other,LARCENY,43.0502779180001,-76.1729317529999,63,2024-05,2,433
44,-8473266.66323007,5322855.42529236,2024-02-26 00:00:00+00:00,1607,1607,300 VILLAGE DR     ,NO,From Motor Vehicle,LARCENY,43.0714620000001,-76.1166494999999,64,2024-02,2,388
45,-8477378.33367062,5319958.65521991,2024-05-12 00:00:00+00:00,1748,1748,200 W WILLOW ST     ,NO,All Other,LARCENY,43.052449822,-76.153585264,67,2024-05,2,433
46,-8479531.97497473,5319627.79256042,2024-06-27 00:00:00+00:00,0,1432,200 WALL ST     ,NO,From Mailbox,LARCENY,43.0502779180001,-76.1729317529999,68,2024-06,2,469
47,-8477642.35400311,5321881.71958129,2024-05-25 00:00:00+00:00,535,535,300 W  KIRKPATRICK ST     ,NO,All Other,LARCENY,43.065072,-76.155956999,70,2024-05,2,433
48,-8479531.97497473,5319627.79256042,2024-09-13 00:00:00+00:00,600,600,200 WALL ST     ,NO,From Motor Vehicle,LARCENY,43.0502779180001,-76.1729317529999,71,2024-09,2,569
49,-8479531.97497473,5319627.79256042,2024-11-25 00:00:00+00:00,1838,1838,200 WALL ST     ,NO,From Building,BURGLARY,43.0502779180001,-76.1729317529999,72,2024-11,1,436
50,-8475933.55863122,5320351.81984785,2024-01-14 00:00:00+00:00,1002,1518,200 WAYNE ST   ,NO,All Other,LARCENY,43.0550305990001,-76.1406066289999,74,2024-01,2,430
51,-8478369.30612287,5322776.71928119,2024-04-14 00:00:00+00:00,1200,1530,200 WASHINGTON SQ     ,NO,All Other,LARCENY,43.070945512,-76.162487321,75,2024-04,2,426
52,-8473631.47111634,5319142.49249313,2024-04-24 00:00:00+00:00,1700,930,200 WESTCOTT ST     ,NO,From Motor Vehicle,LARCENY,43.047092091,-76.1199266249999,76,2024-04,2,426
53,-8480358.6959636,5318969.0104083,2024-08-24 00:00:00+00:00,342,342,200 WHITTIER AV   ,NO,Of Bicycle,MV THEFT,43.045953201,-76.180358314,80,2024-08,3,648
54,-8480358.6959636,5318969.0104083,2024-01-10 00:00:00+00:00,451,500,200 WHITTIER AV   ,NO,From Motor Vehicle,LARCENY,43.045953201,-76.180358314,82,2024-01,2,430
55,-8476795.26844924,5314110.79702479,2024-05-18 00:00:00+00:00,45,45,300 W  OSTRANDER AVE    ,NO,All Other,LARCENY,43.0140510000001,-76.1483474999999,83,2024-05,2,433
56,-8480358.6959636,5318969.0104083,2024-09-30 00:00:00+00:00,918,918,200 WHITTIER AV   ,NO,From Motor Vehicle,LARCENY,43.045953201,-76.180358314,84,2024-09,2,569
57,-8480358.6959636,5318969.0104083,2024-06-20 00:00:00+00:00,0,600,200 WHITTIER AV   ,NO,From Building,LARCENY,43.045953201,-76.180358314,85,2024-06,2,469
58,-8480358.6959636,5318969.0104083,2024-09-30 00:00:00+00:00,100,940,200 WHITTIER AVE    ,NO,From Motor Vehicle,LARCENY,43.045953201,-76.180358314,86,2024-09,2,569
59,-8475565.87124369,5321754.08358275,2024-11-19 00:00:00+00:00,2051,2051,200 WHITWELL DR   ,YES,Of Bicycle,ROBBERY,43.0642343320001,-76.1373036369999,87,2024-11,4,436
60,-8481252.79919684,5319144.31401955,2024-02-28 00:00:00+00:00,5,5,200 WILLIS AV   ,NO,Of Bicycle,MV THEFT,43.047104049,-76.1883901799999,89,2024-02,3,388
61,-8478322.96726976,5319721.5900533,2024-07-23 00:00:00+00:00,1600,2100,200 WILKINSON ST     ,NO,All Other,LARCENY,43.0508936470001,-76.162071052,90,2024-07,2,554
62,-8478322.96726976,5319721.5900533,2024-08-30 00:00:00+00:00,107,107,200 WILKINSON ST     ,NO,From Motor Vehicle,LARCENY,43.0508936470001,-76.162071052,91,2024-08,2,648
63,-8476769.7206261,5319449.27024237,2024-01-25 00:00:00+00:00,1445,1510,300 W  WASHINGTON ST   ,NO,All Other,LARCENY,43.0491060000001,-76.148118,92,2024-01,2,430
64,-8478322.96726976,5319721.5900533,2024-07-26 00:00:00+00:00,800,800,200 WILKINSON ST     ,NO,All Other,LARCENY,43.0508936470001,-76.162071052,93,2024-07,2,554
65,-8476769.7206261,5319449.27024237,2024-06-03 00:00:00+00:00,1422,1422,300 W  WASHINGTON ST     ,NO,All Other,LARCENY,43.0491060000001,-76.148118,96,2024-06,2,469
66,-8478664.61268694,5322616.28641359,2024-08-20 00:00:00+00:00,1753,1753,200 WOLF ST     ,YES,Shoplifting,LARCENY,43.069892699,-76.165140105,98,2024-08,2,648
67,-8478664.61268694,5322616.28641359,2024-07-30 00:00:00+00:00,1730,1815,200 WOLF ST     ,NO,From Motor Vehicle,LARCENY,43.069892699,-76.165140105,99,2024-07,2,554
68,-8472515.41206923,5322043.88268922,2024-07-20 00:00:00+00:00,1249,1249,200 WOODBINE AV   ,YES,All Other,LARCENY,43.066136251,-76.1099008959999,100,2024-07,2,554
69,-8478664.61268694,5322616.28641359,2024-05-08 00:00:00+00:00,348,348,200 WOLF ST     ,NO,From Building,BURGLARY,43.069892699,-76.165140105,102,2024-05,1,433
70,-8473073.01451556,5319740.45770209,2024-11-12 00:00:00+00:00,1810,1810,2000 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.051017502,-76.114909924,105,2024-11,2,436
71,-8473598.35701874,5318897.86904626,2024-04-24 00:00:00+00:00,100,640,2000 E GENESEE ST     ,NO,From Motor Vehicle,LARCENY,43.0454861600001,-76.119629156,106,2024-04,2,426
72,-8473073.01451556,5319740.45770209,2024-05-16 00:00:00+00:00,401,401,2000 ERIE BLVD E ,NO,From Building,BURGLARY,43.051017502,-76.114909924,107,2024-05,1,433
73,-8473073.01451556,5319740.45770209,2024-07-21 00:00:00+00:00,1435,1435,2000 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.051017502,-76.114909924,108,2024-07,2,554
74,-8473598.35701874,5318897.86904626,2024-05-25 00:00:00+00:00,59,59,2000 E GENESEE ST     ,NO,All Other,BURGLARY,43.0454861600001,-76.119629156,109,2024-05,1,433
75,-8473073.01451556,5319740.45770209,2024-11-29 00:00:00+00:00,1042,1042,2000 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.051017502,-76.114909924,110,2024-11,2,436
76,-8473073.01451556,5319740.45770209,2024-05-23 00:00:00+00:00,1157,1157,2000 ERIE BLVD E ,YES,Shoplifting,LARCENY,43.051017502,-76.114909924,111,2024-05,2,433
77,-8473073.01451556,5319740.45770209,2024-07-16 00:00:00+00:00,1221,1221,2000 ERIE BLVD E ,NO,From Building,LARCENY,43.051017502,-76.114909924,112,2024-07,2,554
78,-8473073.01451556,5319740.45770209,2024-09-16 00:00:00+00:00,1115,1115,2000 ERIE BLVD E ,YES,All Other,LARCENY,43.051017502,-76.114909924,113,2024-09,2,569
79,-8473073.01451556,5319740.45770209,2024-09-12 00:00:00+00:00,2300,500,2000 ERIE BLVD E ,NO,From Motor Vehicle,LARCENY,43.051017502,-76.114909924,114,2024-09,2,569
80,-8473073.01451556,5319740.45770209,2024-10-03 00:00:00+00:00,1955,2000,2000 ERIE BLVD E ,NO,Shoplifting,BURGLARY,43.051017502,-76.114909924,115,2024-10,1,531
81,-8473073.01451556,5319740.45770209,2024-10-06 00:00:00+00:00,1100,1100,2000 ERIE BLVD E ,NO,Shoplifting,BURGLARY,43.051017502,-76.114909924,116,2024-10,1,531
82,-8473073.01451556,5319740.45770209,2024-05-18 00:00:00+00:00,1314,1314,2000 ERIE BLVD E ,YES,All Other,LARCENY,43.051017502,-76.114909924,117,2024-05,2,433
83,-8473073.01451556,5319740.45770209,2024-12-29 00:00:00+00:00,1205,1205,2000 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.051017502,-76.114909924,118,2024-12,2,386
84,-8477361.82688257,5321634.62887654,2024-02-03 00:00:00+00:00,1930,100,2000 LODI ST     ,NO,All Other,LARCENY,43.0634503470001,-76.153436981,121,2024-02,2,388
85,-8482157.58464842,5321118.79608247,2024-12-23 00:00:00+00:00,2126,2126,2000 ERIE BLVD W ,NO,From Motor Vehicle,LARCENY,43.060064805,-76.196518006,122,2024-12,2,386
86,-8478763.17140186,5322900.26025645,2024-04-23 00:00:00+00:00,2330,2330,2000 PARK ST     ,NO,From Building,BURGLARY,43.071756216,-76.1660254729999,123,2024-04,1,426
87,-8478763.17140186,5322900.26025645,2024-03-02 00:00:00+00:00,2217,2217,2000 PARK ST     ,NO,From Building,BURGLARY,43.071756216,-76.1660254729999,124,2024-03,1,489
88,-8478763.17140186,5322900.26025645,2024-11-12 00:00:00+00:00,2111,2111,2000 PARK ST     ,NO,Purse Snatch,LARCENY,43.071756216,-76.1660254729999,126,2024-11,2,436
89,-8477665.39724903,5319413.6246224,2024-08-04 00:00:00+00:00,0,1200,300 W FAYETTE ST     ,NO,From Motor Vehicle,LARCENY,43.0488720000001,-76.156164,127,2024-08,2,648
90,-8479775.5660656,5316198.25641948,2024-05-11 00:00:00+00:00,1007,1007,2000 S GEDDES ST     ,NO,All Other,LARCENY,43.027760653,-76.175119969,128,2024-05,2,433
91,-8477665.39724903,5319413.6246224,2024-09-23 00:00:00+00:00,30,1820,300 W FAYETTE ST     ,NO,From Motor Vehicle,LARCENY,43.0488720000001,-76.156164,129,2024-09,2,569
92,-8477665.39724903,5319413.6246224,2024-07-11 00:00:00+00:00,1545,1545,300 W FAYETTE ST     ,NO,From Motor Vehicle,LARCENY,43.0488720000001,-76.156164,130,2024-07,2,554
93,-8477665.39724903,5319413.6246224,2024-08-31 00:00:00+00:00,1115,1315,300 W FAYETTE ST   ,NO,From Motor Vehicle,LARCENY,43.0488720000001,-76.156164,133,2024-08,2,648
94,-8476538.15070441,5316074.36409835,2024-12-18 00:00:00+00:00,1347,1503,2000 S SALINA ST     ,NO,All Other,LARCENY,43.0269470600001,-76.1460377719999,134,2024-12,2,386
95,-8477665.39724903,5319413.6246224,2024-02-03 00:00:00+00:00,1853,1020,300 W FAYETTE ST     ,NO,From Building,BURGLARY,43.0488720000001,-76.156164,135,2024-02,1,388
96,-8477665.39724903,5319413.6246224,2024-03-23 00:00:00+00:00,0,1025,300 W FAYETTE ST     ,NO,From Building,LARCENY,43.0488720000001,-76.156164,136,2024-03,2,489
97,-8476538.15070441,5316074.36409835,2024-09-20 00:00:00+00:00,2230,2300,2000 S SALINA ST     ,NO,Of Bicycle,MV THEFT,43.0269470600001,-76.1460377719999,139,2024-09,3,569
98,-8477665.39724903,5319413.6246224,2024-04-16 00:00:00+00:00,1545,1545,300 W FAYETTE ST     ,NO,From Motor Vehicle,LARCENY,43.0488720000001,-76.156164,140,2024-04,2,426
99,-8478247.61065366,5314786.91205921,2024-06-24 00:00:00+00:00,1430,550,2000 SOUTH AV   ,NO,Of Bicycle,MV THEFT,43.018491806,-76.161394112,142,2024-06,3,469
100,-8476538.15070441,5316074.36409835,2024-05-15 00:00:00+00:00,1712,1712,2000 S SALINA ST     ,NO,From Building,LARCENY,43.0269470600001,-76.1460377719999,144,2024-05,2,433
101,-8477665.39724903,5319413.6246224,2024-10-20 00:00:00+00:00,2200,915,300 W FAYETTE ST     ,NO,Of Bicycle,MV THEFT,43.0488720000001,-76.156164,145,2024-10,3,531
102,-8476538.15070441,5316074.36409835,2024-09-04 00:00:00+00:00,858,858,2000 S SALINA ST     ,NO,All Other,LARCENY,43.0269470600001,-76.1460377719999,147,2024-09,2,569
103,-8478247.61065366,5314786.91205921,2024-10-21 00:00:00+00:00,231,231,2000 SOUTH AV   ,NO,From Building,BURGLARY,43.018491806,-76.161394112,148,2024-10,1,531
104,-8477294.31127744,5311395.7545741,2024-09-21 00:00:00+00:00,740,740,2000 VALLEY DR     ,NO,From Building,LARCENY,42.9962150360001,-76.1528304779999,150,2024-09,2,569
105,-8477294.31127744,5311395.7545741,2024-06-26 00:00:00+00:00,0,735,2000 VALLEY DR     ,NO,From Motor Vehicle,LARCENY,42.9962150360001,-76.1528304779999,151,2024-06,2,469
106,-8477327.26429575,5316454.14151116,2024-05-06 00:00:00+00:00,2307,2307,300 W KENNEDY ST     ,YES,All Other,LARCENY,43.0294410000001,-76.1531265,154,2024-05,2,433
107,-8472799.93667269,5319861.31941243,2024-05-26 00:00:00+00:00,559,559,2100 ERIE BLVD E ,YES,Of Bicycle,MV THEFT,43.051810882,-76.1124568239999,155,2024-05,3,433
108,-8476244.65519714,5315904.45085619,2024-03-15 00:00:00+00:00,2200,301,2000 S STATE ST   ,NO,Of Bicycle,MV THEFT,43.0258312330001,-76.1434012569999,156,2024-03,3,489
109,-8472799.93667269,5319861.31941243,2024-08-30 00:00:00+00:00,1730,1730,2100 ERIE BLVD E ,NO,All Other,LARCENY,43.051810882,-76.1124568239999,157,2024-08,2,648
110,-8477327.26429575,5316454.14151116,2024-04-09 00:00:00+00:00,1300,1702,300 W KENNEDY ST     ,NO,Of Bicycle,BURGLARY,43.0294410000001,-76.1531265,158,2024-04,1,426
111,-8472799.93667269,5319861.31941243,2024-05-14 00:00:00+00:00,1730,1100,2100 ERIE BLVD E ,NO,All Other,LARCENY,43.051810882,-76.1124568239999,159,2024-05,2,433
112,-8476249.5039402,5323061.34703503,2024-03-11 00:00:00+00:00,700,2000,2100 GRANT BLVD   ,NO,All Other,LARCENY,43.0728132880001,-76.143444814,160,2024-03,2,489
113,-8472799.93667269,5319861.31941243,2024-07-30 00:00:00+00:00,2200,600,2100 ERIE BLVD E ,NO,From Motor Vehicle,LARCENY,43.051810882,-76.1124568239999,161,2024-07,2,554
114,-8477327.26429575,5316454.14151116,2024-02-21 00:00:00+00:00,756,756,300 W KENNEDY ST   ,NO,All Other,LARCENY,43.0294410000001,-76.1531265,162,2024-02,2,388
115,-8473400.85564797,5322226.12963167,2024-12-10 00:00:00+00:00,747,747,2100 JAMES ST     ,NO,All Other,LARCENY,43.0673322870001,-76.117854971,163,2024-12,2,386
116,-8477327.26429575,5316454.14151116,2024-06-04 00:00:00+00:00,0,500,300 W KENNEDY ST     ,NO,Of Bicycle,MV THEFT,43.0294410000001,-76.1531265,164,2024-06,3,469
117,-8482256.75562054,5321050.89210848,2024-04-01 00:00:00+00:00,0,0,2100 ERIE BLVD W ,NO,From Motor Vehicle,LARCENY,43.05961912,-76.197408874,165,2024-04,2,426
118,-8479168.02269007,5323202.4034157,2024-07-28 00:00:00+00:00,700,700,2100 PARK ST     ,NO,From Motor Vehicle,LARCENY,43.073738903,-76.1696623139999,166,2024-07,2,554
119,-8479168.02269007,5323202.4034157,2024-08-10 00:00:00+00:00,800,1030,2100 PARK ST     ,NO,All Other,LARCENY,43.073738903,-76.1696623139999,168,2024-08,2,648
120,-8477327.26429575,5316454.14151116,2024-08-25 00:00:00+00:00,1300,700,300 W KENNEDY ST     ,NO,Of Bicycle,MV THEFT,43.0294410000001,-76.1531265,169,2024-08,3,648
121,-8479757.53264205,5315869.34013913,2024-08-13 00:00:00+00:00,1900,1900,2100 S GEDDES ST     ,NO,From Building,BURGLARY,43.025600657,-76.174957972,171,2024-08,1,648
122,-8476491.10953663,5315938.70911853,2024-12-19 00:00:00+00:00,1135,1135,2100 S  SALINA ST     ,NO,From Building,LARCENY,43.02605621,-76.145615194,172,2024-12,2,386
123,-8477327.26429575,5316454.14151116,2024-07-18 00:00:00+00:00,0,630,300 W KENNEDY ST     ,NO,From Motor Vehicle,LARCENY,43.0294410000001,-76.1531265,173,2024-07,2,554
124,-8477327.26429575,5316454.14151116,2024-03-31 00:00:00+00:00,1907,1907,300 W KENNEDY ST     ,YES,All Other,LARCENY,43.0294410000001,-76.1531265,174,2024-03,2,489
125,-8476491.10953663,5315938.70911853,2024-10-26 00:00:00+00:00,1643,1643,2100 S SALINA ST     ,NO,Of Bicycle,MV THEFT,43.02605621,-76.145615194,175,2024-10,3,531
126,-8477327.26429575,5316454.14151116,2024-12-18 00:00:00+00:00,1249,1249,300 W KENNEDY ST     ,YES,All Other,ROBBERY,43.0294410000001,-76.1531265,177,2024-12,4,386
127,-8476491.10953663,5315938.70911853,2024-03-08 00:00:00+00:00,1000,1100,2100 S SALINA ST     ,NO,From Building,LARCENY,43.02605621,-76.145615194,178,2024-03,2,489
