X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType,monthly_crime_count
-8479168.02269007,5323202.4034157,2023-12-10 00:00:00+00:00,2000,2005,2100 PARK ST     ,NO,All Other,LARCENY,43.073738903,-76.1696623139999,3611,2023-12,4.2,2,381
-8476135.62821994,5315636.21770883,2023-11-22 00:00:00+00:00,0119,119,200 MCKINLEY AV   ,NO,Motor Vehicle,MV THEFT,43.024069694,-76.1424218509999,3612,2023-11,3.7,3,509
-8471858.51441823,5320115.25642467,2023-11-17 00:00:00+00:00,0855,855,2500 ERIE BLVD E ,YES,Shoplifting,LARCENY,43.0534777830001,-76.103999884,3613,2023-11,3.7,2,509
-8472356.96035131,5318554.05796461,2023-12-06 00:00:00+00:00,0800,1135,2700 E GENESEE ST     ,NO,All Other,LARCENY,43.0432290000001,-76.1084774999999,3614,2023-12,4.2,2,381
-8471975.74664377,5323214.76205646,2023-06-19 00:00:00+00:00,1200,1206,300 N MIDLER AV   ,NO,Of MV Parts/Accessories,LARCENY,43.0738200000001,-76.105052999,3615,2023-06,3.5,2,349
-8477382.46095206,5319678.8471358,2023-06-02 00:00:00+00:00,2147,2147,200 W WATER ST     ,NO,All Other,LARCENY,43.0506130640001,-76.15362234,3616,2023-06,3.5,2,349
-8477378.33367062,5319958.65521991,2023-11-26 00:00:00+00:00,2201,2201,200 W WILLOW ST     ,NO,From Building,LARCENY,43.052449822,-76.153585264,3618,2023-11,3.7,2,509
-8477378.33367062,5319958.65521991,2023-08-23 00:00:00+00:00,0400,854,200 W WILLOW ST     ,NO,From Motor Vehicle,LARCENY,43.052449822,-76.153585264,3620,2023-08,3.8,2,608
-8475744.9181806,5322797.27285906,2023-04-06 00:00:00+00:00,1700,900,200 WADSWORTH ST     ,NO,Motor Vehicle,MV THEFT,43.0710803900001,-76.1389120429999,3622,2023-04,2.9,3,331
-8475744.9181806,5322797.27285906,2023-08-20 00:00:00+00:00,1233,122,200 WADSWORTH ST     ,NO,From Motor Vehicle,MV THEFT,43.0710803900001,-76.1389120429999,3624,2023-08,3.8,3,608
-8478369.30612287,5322776.71928119,2023-05-07 00:00:00+00:00,0200,1018,200 WASHINGTON SQ     ,NO,All Other,LARCENY,43.070945512,-76.162487321,3625,2023-05,3.2,2,366
-8471975.74664377,5323214.76205646,2023-10-31 00:00:00+00:00,0343,343,300 N MIDLER AV   ,NO,From Building,BURGLARY,43.0738200000001,-76.105052999,3626,2023-10,3.7,1,558
-8478369.30612287,5322776.71928119,2023-02-18 00:00:00+00:00,1040,836,200 WASHINGTON SQ     ,NO,All Other,LARCENY,43.070945512,-76.162487321,3627,2023-02,4.1,2,336
-8471945.18955487,5318360.76917508,2023-02-01 00:00:00+00:00,1145,1145,2900 E GENESEE ST   ,NO,From Motor Vehicle,LARCENY,43.0419600000001,-76.1047785,3629,2023-02,4.1,2,336
-8471975.74664377,5323214.76205646,2023-11-22 00:00:00+00:00,0059,59,300 N MIDLER AV   ,NO,From Building,BURGLARY,43.0738200000001,-76.105052999,3630,2023-11,3.7,1,509
-8476135.62821994,5315636.21770883,2023-12-17 00:00:00+00:00,0732,732,200 MCKINLEY AV   ,NO,From Motor Vehicle,LARCENY,43.024069694,-76.1424218509999,3633,2023-12,4.2,2,381
-8474423.82933687,5322408.33091132,2023-03-17 00:00:00+00:00,0400,700,400 DURSTON AV   ,NO,All Other,BURGLARY,43.0685280000001,-76.1270445,3634,2023-03,3.6,1,310
-8471975.74664377,5323214.76205646,2023-04-18 00:00:00+00:00,1206,1206,300 N MIDLER AV   ,NO,All Other,LARCENY,43.0738200000001,-76.105052999,3635,2023-04,2.9,2,331
-8475242.71899956,5318132.64556771,2023-05-23 00:00:00+00:00,1249,1249,200 WAVERLEY AV   ,YES,All Other,LARCENY,43.040462265,-76.134400711,3636,2023-05,3.2,2,366
-8476135.62821994,5315636.21770883,2023-08-17 00:00:00+00:00,1215,1215,200 MCKINLEY AVE    ,NO,All Other,LARCENY,43.024069694,-76.1424218509999,3638,2023-08,3.8,2,608
-8479184.61619601,5317378.83963859,2023-08-10 00:00:00+00:00,0115,115,200 PUTNAM ST     ,NO,From Building,BURGLARY,43.0355129270001,-76.169811376,3639,2023-08,3.8,1,608
-8478661.26141367,5316781.70838345,2023-08-14 00:00:00+00:00,1930,750,300 ONONDAGA AV   ,NO,From Motor Vehicle,LARCENY,43.031592,-76.16511,3640,2023-08,3.8,2,608
-8474423.82933687,5322408.33091132,2023-11-01 00:00:00+00:00,1558,1640,400 DURSTON AV   ,NO,All Other,LARCENY,43.0685280000001,-76.1270445,3641,2023-11,3.7,2,509
-8471945.18955487,5318360.76917508,2023-09-21 00:00:00+00:00,0740,740,2900 E GENESEE ST     ,NO,Shoplifting,LARCENY,43.0419600000001,-76.1047785,3642,2023-09,3.6,2,574
-8478526.23309772,5318133.16905905,2023-07-21 00:00:00+00:00,1645,1645,200 MERRIMAN AV   ,NO,All Other,LARCENY,43.0404657020001,-76.16389702,3644,2023-07,3.5,2,558
-8478661.26141367,5316781.70838345,2023-07-05 00:00:00+00:00,0800,800,300 ONONDAGA AV   ,NO,From Motor Vehicle,LARCENY,43.031592,-76.16511,3646,2023-07,3.5,2,558
-8471858.51441823,5320115.25642467,2023-06-04 00:00:00+00:00,2317,2317,2500 ERIE BLVD E ,NO,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3647,2023-06,3.5,1,349
-8471945.18955487,5318360.76917508,2023-11-18 00:00:00+00:00,0258,258,2900 E GENESEE ST     ,NO,From Building,BURGLARY,43.0419600000001,-76.1047785,3648,2023-11,3.7,1,509
-8477172.64085512,5312620.95250381,2023-08-07 00:00:00+00:00,0030,530,200 MILBURN DR     ,NO,Motor Vehicle,MV THEFT,43.004264386,-76.151737494,3650,2023-08,3.8,3,608
-8476516.70133097,5315595.79273669,2023-11-12 00:00:00+00:00,1200,1230,200 WEBSTER AV   ,NO,From Motor Vehicle,LARCENY,43.023804211,-76.145845089,3654,2023-11,3.7,2,509
-8480503.44402956,5316508.01077735,2023-12-05 00:00:00+00:00,1900,615,200 REED AV   ,NO,Motor Vehicle,MV THEFT,43.029794743,-76.181658608,3657,2023-12,4.2,3,381
-8471858.51441823,5320115.25642467,2023-05-29 00:00:00+00:00,2139,2139,2500 ERIE BLVD E ,YES,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3659,2023-05,3.2,1,366
-8476431.21297141,5323113.38242895,2023-11-02 00:00:00+00:00,0924,924,2200 GRANT BLVD   ,NO,All Other,LARCENY,43.073154747,-76.145077134,3661,2023-11,3.7,2,509
-8477172.64085512,5312620.95250381,2023-07-17 00:00:00+00:00,0140,215,200 MILBURN DR     ,NO,Of Bicycle,MV THEFT,43.004264386,-76.151737494,3662,2023-07,3.5,3,558
-8479184.61619601,5317378.83963859,2023-06-12 00:00:00+00:00,1200,935,200 PUTNAM ST     ,NO,All Other,LARCENY,43.0355129270001,-76.169811376,3663,2023-06,3.5,2,349
-8478661.26141367,5316781.70838345,2023-07-14 00:00:00+00:00,2000,800,300 ONONDAGA AV   ,NO,Of MV Parts/Accessories,MV THEFT,43.031592,-76.16511,3664,2023-07,3.5,3,558
-8474423.82933687,5322408.33091132,2023-07-13 00:00:00+00:00,1800,1830,400 DURSTON AV   ,YES,From Motor Vehicle,MV THEFT,43.0685280000001,-76.1270445,3665,2023-07,3.5,3,558
-8479925.62819009,5319783.79730256,2023-11-09 00:00:00+00:00,1142,1249,300 APPLE ST     ,NO,All Other,LARCENY,43.0513020000001,-76.1764679999999,3666,2023-11,3.7,2,509
-8473292.0750208,5322297.84033419,2023-07-30 00:00:00+00:00,2319,2319,2200 JAMES ST     ,NO,Of Bicycle,MV THEFT,43.067802898,-76.1168777779999,3667,2023-07,3.5,3,558
-8477172.64085512,5312620.95250381,2023-05-21 00:00:00+00:00,0800,741,200 MILBURN DR     ,NO,From Motor Vehicle,LARCENY,43.004264386,-76.151737494,3668,2023-05,3.2,2,366
-8478661.26141367,5316781.70838345,2023-08-14 00:00:00+00:00,2330,930,300 ONONDAGA AV   ,NO,From Motor Vehicle,LARCENY,43.031592,-76.16511,3670,2023-08,3.8,2,608
-8471858.51441823,5320115.25642467,2023-05-21 00:00:00+00:00,1530,1530,2500 ERIE BLVD E ,YES,All Other,LARCENY,43.0534777830001,-76.103999884,3671,2023-05,3.2,2,366
-8473341.80388636,5319131.2064403,2023-06-04 00:00:00+00:00,1450,635,300 ALLEN ST     ,NO,All Other,LARCENY,43.047018,-76.1173244999999,3672,2023-06,3.5,2,349
-8477172.64085512,5312620.95250381,2023-07-17 00:00:00+00:00,0000,800,200 MILBURN DR     ,NO,Motor Vehicle,MV THEFT,43.004264386,-76.151737494,3674,2023-07,3.5,3,558
-8478270.28086796,5317412.84790029,2023-09-08 00:00:00+00:00,0300,1700,200 RICH ST     ,NO,From Building,BURGLARY,43.035736227,-76.161597762,3675,2023-09,3.6,1,574
-8478661.26141367,5316781.70838345,2023-07-31 00:00:00+00:00,0540,540,300 ONONDAGA AVE    ,NO,Of Bicycle,MV THEFT,43.031592,-76.16511,3676,2023-07,3.5,3,558
-8471858.51441823,5320115.25642467,2023-06-03 00:00:00+00:00,2340,2340,2500 ERIE BLVD E ,YES,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3677,2023-06,3.5,1,349
-8471858.51441823,5320115.25642467,2023-09-22 00:00:00+00:00,2329,2329,2500 ERIE BLVD E ,YES,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3678,2023-09,3.6,1,574
-8477119.37514669,5315011.06515733,2023-06-28 00:00:00+00:00,2250,2330,400 E  BRIGHTON AV   ,NO,Motor Vehicle,MV THEFT,43.0199640000001,-76.151259,3679,2023-06,3.5,3,349
-8471858.51441823,5320115.25642467,2023-06-10 00:00:00+00:00,2318,2318,2500 ERIE BLVD E ,YES,Shoplifting,BURGLARY,43.0534777830001,-76.103999884,3680,2023-06,3.5,1,349
-8471858.51441823,5320115.25642467,2023-10-30 00:00:00+00:00,1054,1055,2500 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.0534777830001,-76.103999884,3681,2023-10,3.7,2,558
-8471858.51441823,5320115.25642467,2023-10-26 00:00:00+00:00,1249,1249,2500 ERIE BLVD E ,NO,Shoplifting,LARCENY,43.0534777830001,-76.103999884,3682,2023-10,3.7,2,558
