X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId,month,unemployment_rate,CrimeType
-8475090.362803,5320058.04043077,2023-08-12 00:00:00+00:00,1509,1509,100 MANILLA ST     ,NO,All Other,LARCENY,43.053102208,-76.1330320719999,1581,2023-08-01,3.8,2
-8475203.78934911,5319028.38640624,2023-12-12 00:00:00+00:00,1150,250,1100 E GENESEE ST     ,NO,From Building,LARCENY,43.046343,-76.1340509999999,1582,2023-12-01,4.2,2
-8478300.74389189,5322046.95486063,2023-01-18 00:00:00+00:00,0000,0,100 TURTLE ST     ,NO,From Motor Vehicle,LARCENY,43.066156413,-76.1618714159999,1583,2023-01-01,4.1,2
-8479740.57345159,5315869.80411698,2023-08-29 00:00:00+00:00,1200,1330,100 TWIN HILLS DR     ,NO,From Building,BURGLARY,43.025603704,-76.174805625,1584,2023-08-01,3.8,1
-8477736.82473238,5313485.87449179,2023-06-07 00:00:00+00:00,2100,800,100 VALLEY VIEW DR     ,NO,All Other,LARCENY,43.0099461470001,-76.156805644,1585,2023-06-01,3.5,2
-8477736.82473238,5313485.87449179,2023-12-16 00:00:00+00:00,0515,703,100 VALLEY VIEW DR     ,NO,From Motor Vehicle,LARCENY,43.0099461470001,-76.156805644,1586,2023-12-01,4.2,2
-8474523.51594088,5314299.88724884,2023-07-08 00:00:00+00:00,1930,1030,1100 JAMESVILLE AV   ,NO,From Motor Vehicle,LARCENY,43.015293,-76.12794,1587,2023-07-01,3.5,2
-8475294.04429794,5315143.69874298,2023-12-15 00:00:00+00:00,2355,0,100 VINCENT ST     ,NO,Motor Vehicle,MV THEFT,43.0208350950001,-76.1348617739999,1588,2023-12-01,4.2,3
-8473433.43184979,5322751.15987196,2023-01-29 00:00:00+00:00,0600,1300,100 VILLAGE DRIVE EXT    ,NO,Motor Vehicle,MV THEFT,43.070777784,-76.118147608,1589,2023-01-01,4.1,3
-8477296.70709552,5321478.55284792,2023-06-29 00:00:00+00:00,1700,2100,1100 N  TOWNSEND ST     ,NO,All Other,LARCENY,43.0624260000001,-76.1528519999999,1590,2023-06-01,3.5,2
-8476543.81185712,5316090.99184772,2023-09-10 00:00:00+00:00,0540,540,100 W  BEARD AVE    ,NO,From Motor Vehicle,LARCENY,43.0270562540001,-76.146088627,1591,2023-09-01,3.6,2
